state_abbv,n_abs_nonret,n_abs_rej_all_ballots,n_eavs_completeness,n_nonvoter_illness_pct,n_nonvoter_reg_pct,n_online_reg,n_pct_reg_of_vep_vrs,n_post_election_audit,n_prov_partic,n_prov_rej_all,n_reg_rej,n_uocava_nonret,n_uocava_rej,n_vep_turnout,n_wait,n_website,state,index
AK,0.67971,0.8025976,1,0.5381097,0.8428298,1,0.8426379,1,0.5937816,0.5841357,0.8447416,0.8302089,0.9008784,0.7318968,0.8072042,0.8,Alaska,0.79992074
AL,0.8302698,0.9395407,0.9899132,0.133357,0.5289513,1,0.9050401,0,0.953796,0.7989552,0.9731766,0.6457277,0.9497218,0.5276723,0.528832,1,Alabama,0.73155963
AR,0.7892134,0.8875853,0.5757427,0.2777512,0.7576534,0,0.5575606,0,,,,,,0.3631594,0.4830812,0.6,Arkansas,0.48106793
AZ,,0.7201045,0.9776692,0.7724258,0.5274467,1,0.6602792,1,0.8096324,0.4188013,0.8730617,0.6276098,0.9723721,0.5774106,0.839783,0.8,Arizona,0.7717731
CA,,0.1241815,0.9873053,0.6469913,0.720947,1,0.6342945,1,0.3132485,0,0.7228904,0.2863068,0.7218378,0.5917492,0.7249274,0.8,California,0.61831194
CO,,0.4450651,1,0.8754503,0.5215712,1,0.9101304,1,0.9984079,0.9874265,0.8995649,0.4893722,0.9189966,0.9639174,0.893348,1,Colorado,0.86021674
CT,0.8158743,0.909157,0.7007975,0.3079379,0.7430488,1,0.7197353,1,0.9999132,0.9997355,,,0.9549736,0.7255242,0.7050149,0.8,Connecticut,0.81297946
DC,0.5231497,0.8927221,1,0.44612,0.3159951,1,1,1,0.9084359,0.4195118,0.9223315,0.4436052,0.8893408,0.4288826,0.2093972,1,District of Columbia,0.71246827
DE,0.6376067,0.8557985,1,0.3588154,0.8432696,1,0.7367579,1,0.9972336,0.9725634,0.9893016,0.5751649,0.9460076,0.6433385,0.728996,1,Delaware,0.83030337
FL,0.5040079,0.7195575,0.9945688,0.490878,0.7409908,1,0.8412983,1,0.9855886,0.905254,0.8315356,0.4660604,0.7397693,0.7408326,0.6315466,0.6,Florida,0.76199299
GA,0.7324903,0.857685,0.9995102,0.2455908,0.6254135,1,0.7385449,0,0.9517956,0.7693235,0.9959298,0.6294432,0.7777163,0.7431645,0,0.8,Georgia,0.67916298
HI,0.5812419,0.4017835,0.5892362,0.6018592,0.4873646,1,0.256536,1,0.9797408,0.9005086,,,0.9558519,0.3052113,0.7318504,0.8,Hawaii,0.68508458
IA,0.8185323,0.7139437,0.9989092,0.8044359,0.7614257,1,0.8858801,1,0.932969,0.9428713,0.9958985,0.7375549,0.9103453,0.8177596,0.8346505,0.6,Iowa,0.85969853
ID,0.8811407,0.8548054,0.8407241,0.4780849,0.9864955,1,0.302115,0,1,1,,0.761894,0.7413368,0.6040654,0.593727,0.75,Idaho,0.71962589
IL,0.6903448,0.8564477,0.737887,0.4388863,0.8280831,1,0.8335537,1,0.9643044,0.8626243,,,,0.6422602,0.6315228,0.6,Illinois,0.77583957
IN,0.9893489,,0.9711834,0.6133537,0.7722807,1,0.6671815,0,0.9913654,0.9323252,0.9081911,0.7830494,0.9382942,0.5164539,0.3145342,1,Indiana,0.75983745
KS,0.809118,0.8933727,0.8568819,0.4175634,0.7637082,1,0.6941718,0,0.8060063,0.4524359,,0.8946915,0.9856254,0.6352154,0.7232108,0.5,Kansas,0.69546676
KY,0.774066,0.9188257,0.9976308,0.2124898,0.8083139,1,0.630756,1,0.9989928,0.9901924,0,0.5216741,0.4773462,0.5632297,0.4755924,1,Kentucky,0.71056938
LA,0.3633736,0.872095,1,0.3135555,0.6704356,1,0.7563156,1,0.9946092,0.9568881,0.9122835,0.1230422,0.6224968,0.4573427,0.6896998,1,Louisiana,0.73325861
MA,0.7054464,0.8597862,0.9969061,0.1718362,0.8115907,1,0.8097901,1,0.9846358,0.8857225,0.9275922,0.8088019,0.9739141,0.730994,0.7804588,0.8,Massachusetts,0.82796717
MD,0.5688398,0.9359726,1,0.4058939,0.7891623,1,0.9200163,1,0.7941641,0.7873174,0.9959345,0.6461506,0.8828495,0.7207797,0.36988,1,Maryland,0.80106002
ME,0.9219,0.7535182,1,0.4270353,0.9769312,0,0.8618909,0,0.9956846,1,0.9861097,0.7813462,0.8825247,0.8873805,0.6934417,0.75,Maine,0.74486017
MI,0.893697,0.8963031,0.9998691,0.4767759,0.8288853,0,0.9402958,0,0.998432,0.9881359,0.9989401,0.7309386,0.9372786,0.8197698,0.5739428,0.8,Michigan,0.74270397
MN,0.7808688,0.786139,1,0.5640668,0.9811702,1,0.9103665,1,1,1,0.9987922,0.6880199,0.4991744,1,0.8024261,1,Minnesota,0.87568897
MO,0.8974902,0.8621843,0.7095883,0.367866,0.7196399,1,0.8477765,1,0.98448,0.8909278,,0.6153218,0.7493159,0.6987985,0.5016972,0.6,Missouri,0.76300579
MS,0.8378733,0.9643326,0.85471,0.2344895,0.9089013,0,0.753805,0,0.884967,0.6851691,0.989068,,,0.426532,0.5829592,0.6,Mississippi,0.62305766
MT,0.6718446,0.7979084,0.999723,0.7454479,0.7445845,0,0.6779576,1,0.8233519,0.9301525,0.9875585,0.8024006,0.9864556,0.936506,0.775367,0.8,Montana,0.79245365
NC,0.5296175,0.8820971,0.9997898,0.3985282,0.8714874,0,0.805635,1,0.9148244,0.5541028,0.7071724,0.8086073,0.9824424,0.5911302,0.3924029,1,North Carolina,0.71486485
ND,0.8960732,0.8742929,0.7946182,0.8458482,0.8077599,,,1,1,1,,,0.8784839,0.8427923,0.8066213,1,North Dakota,0.89554083
NE,0.8191965,0.8403201,0.9910501,0.6606805,0.8564661,1,0.5996011,1,0.8659788,0.6908219,0.9957516,0.8173282,0.8161883,0.6531894,0.7770324,1,Nebraska,0.83647531
NH,0.9082338,0.8456418,1,0.586143,0.9357811,0,0.77118,0,1,1,1,0.8248457,0.744409,0.7325804,0.7415377,1,New Hampshire,0.755647
NJ,0.460055,0.7304995,1,0.4183383,0.7952617,0,0.8207457,0,0.7801763,0.7071217,0.9701343,0.7415792,0.8038034,0.690367,0.7344573,1,New Jersey,0.6657837
NM,0.7671644,0.9742479,0.9973881,0.5838968,0.8741538,1,0.4056977,1,0.9482498,0.7895914,0.9793879,0.8452387,0.8592177,0.5290037,0.7872776,1,New Mexico,0.8337822
NV,0.6791114,0.8641527,1,0.7675993,0.9058959,1,0.5016167,1,0.981391,0.8155023,0.8217237,0.8673669,0.9435012,0.5348638,0.1658779,1,Nevada,0.80303764
NY,0.4714471,0.598446,1,0.312966,0.735188,1,0.7298983,1,0.8253353,0.2272973,0.7947899,0.3431435,0.3983507,0.4706942,0.5974268,0.4,New York,0.61906141
OH,0.8328215,0.8101742,0.9882687,0.5517608,0.7438687,1,0.6211917,1,0.8030747,0.7488442,0.9021315,0.7668523,0.9177195,0.6274409,0.7361013,0.8,Ohio,0.80314064
OK,0.4910343,0.8043708,0.9996487,0.3144517,0.8638213,0.5,0.4497662,0,0.9756077,0.8339744,0.9015186,0.2106657,0.864466,0.3949765,0.5470387,1,Oklahoma,0.63445878
OR,,,0.7100492,0.7853823,0.4201034,1,0.9139177,1,0.9997606,0.9998528,,0.4184831,0.9135765,0.9237043,0.9967101,0.8,Oregon,0.83704156
PA,0.8153418,0.8710062,0.9999439,0.3801002,0.7692012,1,0.6708485,1,0.9713691,0.8705086,0.3532384,0.165939,0.554351,0.6433427,0.6679067,0.8,Pennsylvania,0.72081858
RI,0.7254839,0.8509024,0.4200983,0.4328458,0.8003732,1,0.7879477,1,0.9115195,0.5447375,,,,0.5488871,0.7115244,1,Rhode Island,0.74879384
SC,0.8196495,0.9032571,0.8540111,0.2546833,0.826073,1,0.6279792,1,0.9719256,0.8788193,,0.7687593,0.9819298,0.4696451,0.0190531,1,South Carolina,0.75838566
SD,0.9501194,0.9318569,0.9978517,0.6187447,0.574876,0,0.5996838,0,0.9927793,0.9382575,0.9994711,0.87324,0.9275808,0.6937801,0.814846,0.8,South Dakota,0.73206794
TN,0.8286452,0.9717687,0.9957275,0.2465978,0.7233484,1,0.4003255,1,0.9693791,0.782874,0.7896371,0.7506257,0.7998611,0.4658252,0.4250808,0.8,Tennessee,0.74685603
TX,0.7294475,0.9152471,0.9387007,0.6595,0.7943356,0.5,0.5061344,1,0.942717,0.5402004,0.9041139,0.6164826,0.7164766,0.5012885,0.3008537,0.8,Texas,0.7103436
UT,,0.3602148,0.9974614,0.8019659,0.7578045,1,0.5012586,1,0.575775,0.8202727,0.6563723,0.3287961,0.9483848,0.6589185,0.5510522,1,Utah,0.73055178
VA,0.8986879,0.9536666,0.9074625,0.4974195,0.7990648,1,0.8737481,1,,,0.7469935,0.6978524,0.6164582,0.736008,0.6330572,0.8,Virginia,0.79717278
VT,0.8839855,0.7988713,0.7172464,0.4739303,0.9147383,1,0.7819024,1,1,1,0.9581624,0.8861511,0.6357222,0.767398,0.9800585,1,Vermont,0.86238539
WA,,0.2276053,1,0.9006947,0.2764636,1,0.8020518,1,0.9948897,0.9746838,0.9934093,0.3653609,0.9405217,0.8521696,0.8533797,0.8,Washington,0.79874867
WI,0.7647777,0.9283717,0.8462446,0.4780278,0.9766093,1,0.7038186,1,0.9984716,0.989022,,0.6420646,0.6402018,0.9283724,0.6208082,1,Wisconsin,0.83445269
WV,0.7233238,0.9868478,0.9917094,0.1594096,0.7539395,1,0.5157916,1,0.9260793,0.6639016,0.9941071,0.8491607,0.9616279,0.3941203,0.587889,1,West Virginia,0.78174424
WY,0.9415116,0.9088194,0.8630787,0.6164498,0.840484,0,0.4106682,1,0.9987113,0.9967949,,0.7009909,0.761664,0.5662713,0.8686039,0.4,Wyoming,0.72493654
